2013/01/17 04:32:34;up;10.0.1.125;;Sietsma-beast.SietsmaDevNet.sdn.com;50:E5:49:E6:89:AF;GIGA-BYTE TECHNOLOGY
2013/01/17 04:32:34;up;10.0.1.10;;;00:09:5B:61:B9:FE;Netgear
2013/01/17 04:32:34;up;10.0.1.100;;Sietsma-DC08E;00:09:5B:61:B9:FE;Netgear
2013/01/17 04:32:34;up;10.0.1.150;;SIETSMA-HOMESRV;00:1C:25:52:8B:38;Hon Hai Precision
2013/01/17 13:09:13;up;10.0.1.125;;Sietsma-beast.SietsmaDevNet.sdn.com;50:E5:49:E6:89:AF;GIGA-BYTE TECHNOLOGY
2013/01/17 13:09:14;up;10.0.1.10;;;00:09:5B:61:B9:FE;Netgear
2013/01/17 13:09:14;up;10.0.1.11;;;64:A7:69:94:FE:72;HTC
2013/01/17 13:09:14;up;10.0.1.100;;Sietsma-DC08E;00:09:5B:61:B9:FE;Netgear
2013/01/17 13:09:14;up;10.0.1.150;;SIETSMA-HOMESRV;00:1C:25:52:8B:38;Hon Hai Precision
2013/01/17 13:11:55;up;10.0.1.125;;Sietsma-beast.SietsmaDevNet.sdn.com;50:E5:49:E6:89:AF;GIGA-BYTE TECHNOLOGY
2013/01/17 13:11:55;up;10.0.1.10;;;00:09:5B:61:B9:FE;Netgear
2013/01/17 13:11:55;up;10.0.1.11;;;64:A7:69:94:FE:72;HTC
2013/01/17 13:11:55;up;10.0.1.100;;Sietsma-DC08E;00:09:5B:61:B9:FE;Netgear
2013/01/17 13:11:55;up;10.0.1.150;;SIETSMA-HOMESRV;00:1C:25:52:8B:38;Hon Hai Precision
2013/01/17 13:36:34;up;10.0.1.125;;Sietsma-beast.SietsmaDevNet.sdn.com;50:E5:49:E6:89:AF;GIGA-BYTE TECHNOLOGY
2013/01/17 13:36:35;up;10.0.1.10;;;00:09:5B:61:B9:FE;Netgear
2013/01/17 13:36:35;up;10.0.1.11;;;64:A7:69:94:FE:72;HTC
2013/01/17 13:36:35;up;10.0.1.100;;Sietsma-DC08E;00:09:5B:61:B9:FE;Netgear
2013/01/17 13:36:35;up;10.0.1.150;;SIETSMA-HOMESRV;00:1C:25:52:8B:38;Hon Hai Precision
